"_id__$oid","name","__v","countries__$oid"
"5c96614a1694c9f1cd0205a5","Asia","7","5c96616dfbae7312382a2050"
"","","","5c96747cfbae7312382a2052"
"","","","5c967493fbae7312382a2053"
"","","","5c9674a1fbae7312382a2054"
"","","","5c9674b9fbae7312382a2055"
"","","","5c9674c4fbae7312382a2056"
"","","","5c97859424aa181ad83bd0f1"
"5c9662141694c9f1cd0205a6","Europe","3","5ca6d5a54928134074fd8bf7"
"","","","5ca6d5b04928134074fd8bf8"
"","","","5ca6d5c24928134074fd8bf9"
"5c96621d1694c9f1cd0205a7","North America","3","5caada0f872b791758b34e26"
"","","","5caada25872b791758b34e27"
"","","","5caada2c872b791758b34e28"
"5c9662261694c9f1cd0205a8","South America","4","5caadaff872b791758b34e32"
"","","","5caadb0a872b791758b34e33"
"","","","5caadb13872b791758b34e34"
"","","","5caadb1c872b791758b34e35"
"5c9662331694c9f1cd0205a9","Middle East","3","5caadadf872b791758b34e2f"
"","","","5caadaea872b791758b34e30"
"","","","5caadaf2872b791758b34e31"
"5c96623e1694c9f1cd0205aa","Oceania","3","5caada50872b791758b34e29"
"","","","5caada5c872b791758b34e2a"
"","","","5caada68872b791758b34e2b"
"5c9662451694c9f1cd0205ab","Africa","3","5caada71872b791758b34e2c"
"","","","5caada9d872b791758b34e2d"
"","","","5caadaaa872b791758b34e2e"
